emoji,count,tokens,mult
twisted rightwards arrows,7903,twistedxrightwardsxarrows,
ear with hearing aid,7878,earxwithxhearingxaid,
compression,7855,compression,
flag for yemen,7819,flagxforxyemen,
flag for malaysia,7755,flagxforxmalaysia,
flag for trinidad tobago,7708,flagxforxtrinidadxtobago,
flag for czech republic,7695,flagxforxczechxrepublic,
japanese post office,7685,japanesexpostxoffice,
flag for aland islands,7672,flagxforxalandxislands,
menorah with nine branches,7649,menorahxwithxninexbranches,
flag for panama,7599,flagxforxpanama,
flag for ghana,7597,flagxforxghana,
pager,7584,pager,
printer,7583,printer,
bar of soap,7527,barxofxsoap,
flag for syria,7524,flagxforxsyria,
swan,7507,swan,
squared cjk unified ideograph 5272,7491,squaredxcjkxunifiedxideographx5272,
circled ideograph secret,7481,circledxideographxsecret,
postal horn,7451,postalxhorn,
flag for nepal,7433,flagxforxnepal,
clock face twelve oclock,7422,clockxfacextwelvexoclock,
clock face four oclock,7422,clockxfacexfourxoclock,
flag for romania,7418,flagxforxromania,
clock face six oclock,7416,clockxfacexsixxoclock,
flag for guinea,7411,flagxforxguinea,
flag for uruguay,7402,flagxforxuruguay,
flag for guadeloupe,7397,flagxforxguadeloupe,
squared ng,7358,squaredxng,
clipboard,7349,clipboard,
closed mailbox with raised flag,7343,closedxmailboxxwithxraisedxflag,
aerial tramway,7285,aerialxtramway,
flag for mali,7281,flagxforxmali,
up down arrow,7269,upxdownxarrow,
biohazard sign,7263,biohazardxsign,
flag for laos,7262,flagxforxlaos,
flag for bahamas,7228,flagxforxbahamas,
left luggage,7201,leftxluggage,
waffle,7195,waffle,
flag for congo brazzaville,7179,flagxforxcongoxbrazzaville,
person with probing cane,7150,personxwithxprobingxcane,
triangular ruler,7141,triangularxruler,
clock face ten oclock,7115,clockxfacextenxoclock,
guide dog,7109,guidexdog,
kangaroo,7098,kangaroo,
flying disc,7053,flyingxdisc,
minidisc,7032,minidisc,
skateboard,7015,skateboard,
clock face seven oclock,6970,clockxfacexsevenxoclock,
spiral note pad,6958,spiralxnotexpad,
safety pin,6948,safetyxpin,
closed mailbox with lowered flag,6930,closedxmailboxxwithxloweredxflag,
clockwise downwards and upwards open circle arrows,6921,clockwisexdownwardsxandxupwardsxopenxcirclexarrows,
water closet,6915,waterxcloset,
do not litter symbol,6881,doxnotxlitterxsymbol,
salt shaker,6879,saltxshaker,
file folder,6852,filexfolder,
bus stop,6843,busxstop,
onion,6832,onion,
flag for cape verde,6813,flagxforxcapexverde,
service dog,6813,servicexdog,
family man boy boy,6757,familyxmanxboyxboy,
flag for guyana,6724,flagxforxguyana,
roll of paper,6707,rollxofxpaper,
card index,6680,cardxindex,
black down pointing double triangle,6608,blackxdownxpointingxdoublextriangle,
clock face one oclock,6606,clockxfacexonexoclock,
kneeling person,6604,kneelingxperson,
clock face nine oclock,6596,clockxfacexninexoclock,
flag for bolivia,6562,flagxforxbolivia,
flag myanmar burma,6558,flagxmyanmarxburma,
black circle for record,6490,blackxcirclexforxrecord,
flag for hong kong,6477,flagxforxhongxkong,
squared cjk unified ideograph 6709,6472,squaredxcjkxunifiedxideographx6709,
page with curl,6441,pagexwithxcurl,
mountain cableway,6437,mountainxcableway,
south west arrow,6417,southxwestxarrow,
clock face eight oclock,6406,clockxfacexeightxoclock,
bookmark tabs,6301,bookmarkxtabs,
black left pointing triangle,6250,blackxleftxpointingxtriangle,
skunk,6241,skunk,
suspension railway,6208,suspensionxrailway,
hiking boot,6203,hikingxboot,
broom,6201,broom,
outbox tray,6192,outboxxtray,
floppy disk,6187,floppyxdisk,
flag for eritrea,6161,flagxforxeritrea,
vibration mode,6152,vibrationxmode,
flag for sri lanka,6109,flagxforxsrixlanka,
beverage box,6039,beveragexbox,
flag for burkina faso,6037,flagxforxburkinaxfaso,
large red square,6023,largexredxsquare,
clock face eleven oclock,6020,clockxfacexelevenxoclock,
incoming envelope,6013,incomingxenvelope,
luggage,6010,luggage,
flag for jordan,5948,flagxforxjordan,
card index dividers,5924,cardxindexxdividers,
test tube,5898,testxtube,
person in motorized wheelchair,5893,personxinxmotorizedxwheelchair,
orthodox cross,5893,orthodoxxcross,
atom symbol,5877,atomxsymbol,
clock face five oclock,5876,clockxfacexfivexoclock,
flag for singapore,5846,flagxforxsingapore,
squared cjk unified ideograph 5408,5825,squaredxcjkxunifiedxideographx5408,
standing person,5817,standingxperson,
label,5780,label,
flag for taiwan,5731,flagxforxtaiwan,
flag for latvia,5719,flagxforxlatvia,
flag for macedonia,5702,flagxforxmacedonia,
black left pointing double triangle,5676,blackxleftxpointingxdoublextriangle,
magnet,5665,magnet,
videocassette,5643,videocassette,
ballot box with ballot,5623,ballotxboxxwithxballot,
flag for grenada,5621,flagxforxgrenada,
badger,5599,badger,
flag for oman,5597,flagxforxoman,
open mailbox with lowered flag,5592,openxmailboxxwithxloweredxflag,
file cabinet,5586,filexcabinet,
bookmark,5570,bookmark,
garlic,5555,garlic,
north west arrow,5543,northxwestxarrow,
flag for monaco,5540,flagxforxmonaco,
flag for madagascar,5523,flagxforxmadagascar,
clock face four thirty,5517,clockxfacexfourxthirty,
squared cjk unified ideograph 7121,5506,squaredxcjkxunifiedxideographx7121,
flag for lithuania,5487,flagxforxlithuania,
flag for montenegro,5485,flagxforxmontenegro,
flag for tajikistan,5477,flagxforxtajikistan,
clock face three thirty,5450,clockxfacexthreexthirty,
flag for comoros,5441,flagxforxcomoros,
information source,5434,informationxsource,
no bicycles,5430,noxbicycles,
ballet shoes,5424,balletxshoes,
double vertical bar,5420,doublexverticalxbar,
clockwise rightwards and leftwards open circle arrows with circled one overlay,5416,clockwisexrightwardsxandxleftwardsxopenxcirclexarrowsxwithxcircledxonexoverlay,
flag for cyprus,5411,flagxforxcyprus,
flag for estonia,5396,flagxforxestonia,
flag for belarus,5322,flagxforxbelarus,
large blue square,5309,largexbluexsquare,
squared cjk unified ideograph 6307,5308,squaredxcjkxunifiedxideographx6307,
raccoon,5269,raccoon,
black square for stop,5253,blackxsquarexforxstop,
flag for cook islands,5249,flagxforxcookxislands,
fire extinguisher,5206,firexextinguisher,
flag for martinique,5193,flagxforxmartinique,
restroom,5188,restroom,
open file folder,5182,openxfilexfolder,
flag for fiji,5167,flagxforxfiji,
clock face two thirty,5163,clockxfacextwoxthirty,
flag for luxembourg,5135,flagxforxluxembourg,
squared cjk unified ideograph 7a7a,5130,squaredxcjkxunifiedxideographx7a7a,
card file box,5115,cardxfilexbox,
flag for kyrgyzstan,5115,flagxforxkyrgyzstan,
mechanical leg,5109,mechanicalxleg,
flag for bhutan,5096,flagxforxbhutan,
flag for botswana,5075,flagxforxbotswana,
clock face five thirty,5067,clockxfacexfivexthirty,
leftwards arrow with hook,5047,leftwardsxarrowxwithxhook,
flag for benin,5025,flagxforxbenin,
clock face six thirty,5017,clockxfacexsixxthirty,
clock face seven thirty,4992,clockxfacexsevenxthirty,
sponge,4987,sponge,
sled,4980,sled,
person in manual wheelchair,4970,personxinxmanualxwheelchair,
flag for paraguay,4969,flagxforxparaguay,
oyster,4961,oyster,
black right pointing double triangle with vertical bar,4939,blackxrightxpointingxdoublextrianglexwithxverticalxbar,
black chess pawn,4927,blackxchessxpawn,
